Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1971,1971,tonnes,4807200,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1972,1972,tonnes,4825500,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1973,1973,tonnes,4451000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1974,1974,tonnes,4861100,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1975,1975,tonnes,6225400,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1976,1976,tonnes,7306000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1977,1977,tonnes,7170700,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1978,1978,tonnes,8135400,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1979,1979,tonnes,10133000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1980,1980,tonnes,8326600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1981,1981,tonnes,9670000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1982,1982,tonnes,9911800,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1983,1983,tonnes,9956000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1984,1984,tonnes,12151800,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1985,1985,tonnes,12570600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1986,1986,tonnes,10422800,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1987,1987,tonnes,12740300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1988,1988,tonnes,14046000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1989,1989,tonnes,14857000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1990,1990,tonnes,14770800,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1991,1991,tonnes,15205600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1992,1992,tonnes,18195000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1993,1993,tonnes,18479000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1994,1994,tonnes,17392400,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1995,1995,tonnes,17401300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1996,1996,tonnes,18843300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1997,1997,tonnes,24215900,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1998,1998,tonnes,17652300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1999,1999,tonnes,22494700,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2000,2000,tonnes,25000100,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2001,2001,tonnes,22242700,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2002,2002,tonnes,24456100,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2003,2003,tonnes,23161400,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2004,2004,tonnes,27925800,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2005,2005,tonnes,28787700,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2006,2006,tonnes,29174600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2007,2007,tonnes,28599600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2008,2008,tonnes,34658000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2009,2009,tonnes,34390900,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2010,2010,tonnes,36577300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2011,2011,tonnes,42339400,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2012,2012,tonnes,41483000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2013,2013,tonnes,45343600,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2014,2014,tonnes,46395000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2015,2015,tonnes,48009000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2016,2016,tonnes,43417000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2017,2017,tonnes,48605000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2018,2018,tonnes,51310000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2019,2019,tonnes,50190000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,2020,2020,tonnes,51300000,A,Official figure
